,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
3938,2015-09-22,2015-09-22,16.879,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1122.9,0
3939,2015-09-23,2015-09-23,17.104,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1131.4,0
3940,2015-09-24,2015-09-24,17.062,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1154.5,0
3941,2015-09-25,2015-09-25,16.963,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1146.7,0
3942,2015-09-28,2015-09-28,17.0115,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1131.1,0
3943,2015-09-29,2015-09-29,17.0895,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1132.1,0
3944,2015-09-30,2015-09-30,16.898,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1114.0,0
3945,2015-10-01,2015-10-01,16.8915,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1119.0,0
3946,2015-10-02,2015-10-02,16.8115,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1140.8,0
3947,2015-10-05,2015-10-05,16.699,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1139.8,0
3948,2015-10-06,2015-10-06,16.682000000000002,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1147.5,0
3949,2015-10-07,2015-10-07,16.5735,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1144.6,0
3950,2015-10-08,2015-10-08,16.5015,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1140.0,0
3951,2015-10-09,2015-10-09,16.4125,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1151.6,0
3952,2015-10-13,2015-10-13,16.567999999999998,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1165.2,0
3953,2015-10-14,2015-10-14,16.5715,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1173.9,0
3954,2015-10-15,2015-10-15,16.428,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1184.3,0
3955,2015-10-16,2015-10-16,16.382,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1180.9,0
