,index,Time Series,BRL_USD,BRL_IR,BRL_GDP,BRL_trade,BRL_UE,fc_year,price_gold,h1n1
990,2003-12-11,2003-12-11,2.945,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,404.1,0
991,2003-12-12,2003-12-12,2.944,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,407.1,0
992,2003-12-15,2003-12-15,2.9219999999999997,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,407.5,0
993,2003-12-16,2003-12-16,2.9375,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,408.0,0
994,2003-12-17,2003-12-17,2.9360000000000004,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,408.3,0
995,2003-12-18,2003-12-18,2.9330000000000003,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,407.5,0
996,2003-12-19,2003-12-19,2.93,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,409.8,0
997,2003-12-22,2003-12-22,2.925,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,410.5,0
998,2003-12-23,2003-12-23,2.91,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,409.3,0
999,2003-12-24,2003-12-24,2.9139999999999997,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,409.3,0
1000,2003-12-26,2003-12-26,2.9,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,409.3,0
1001,2003-12-29,2003-12-29,2.87,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,412.0,0
1002,2003-12-30,2003-12-30,2.8989999999999996,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,416.3,0
1003,2003-12-31,2003-12-31,2.895,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,416.3,0
1004,2004-01-02,2004-01-02,2.884,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,415.3,0
1005,2004-01-05,2004-01-05,2.858,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,420.6,0
1006,2004-01-06,2004-01-06,2.8575,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,424.4,0
1007,2004-01-07,2004-01-07,2.8689999999999998,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,421.8,0
1008,2004-01-08,2004-01-08,2.85,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,421.0,0
1009,2004-01-09,2004-01-09,2.845,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,423.4,0
1010,2004-01-12,2004-01-12,2.807,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,425.3,0
1011,2004-01-13,2004-01-13,2.81,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,425.5,0
1012,2004-01-14,2004-01-14,2.8215,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,419.5,0
1013,2004-01-15,2004-01-15,2.81,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,412.5,0
1014,2004-01-16,2004-01-16,2.825,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,408.4,0
1015,2004-01-20,2004-01-20,2.838,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,409.3,0
1016,2004-01-21,2004-01-21,2.846,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,407.6,0
1017,2004-01-22,2004-01-22,2.844,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,409.3,0
1018,2004-01-23,2004-01-23,2.844,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,409.0,0
1019,2004-01-26,2004-01-26,2.843,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,408.2,0
1020,2004-01-27,2004-01-27,2.865,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,405.7,0
1021,2004-01-28,2004-01-28,2.88,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,411.0,0
1022,2004-01-29,2004-01-29,2.945,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,405.7,0
1023,2004-01-30,2004-01-30,2.924,16.5,0.0103213201515059,0.4565988299054965,0.12134398258592805,0,399.8,0
1024,2004-02-02,2004-02-02,2.9525,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,398.4,0
1025,2004-02-03,2004-02-03,2.928,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,401.5,0
1026,2004-02-04,2004-02-04,2.91,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,399.3,0
1027,2004-02-05,2004-02-05,2.932,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,399.6,0
1028,2004-02-06,2004-02-06,2.9419999999999997,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,404.3,0
1029,2004-02-09,2004-02-09,2.932,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,406.0,0
1030,2004-02-10,2004-02-10,2.917,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,408.6,0
1031,2004-02-11,2004-02-11,2.9189999999999996,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,405.8,0
1032,2004-02-12,2004-02-12,2.904,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,411.6,0
1033,2004-02-13,2004-02-13,2.92,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,416.0,0
1034,2004-02-17,2004-02-17,2.912,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,414.5,0
1035,2004-02-18,2004-02-18,2.9360000000000004,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,414.5,0
1036,2004-02-19,2004-02-19,2.949,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,409.8,0
1037,2004-02-20,2004-02-20,2.972,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,405.3,0
1038,2004-02-23,2004-02-23,2.9619999999999997,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,399.5,0
1039,2004-02-24,2004-02-24,2.9625,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,402.3,0
1040,2004-02-25,2004-02-25,2.943,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,400.3,0
1041,2004-02-26,2004-02-26,2.9425,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,393.3,0
1042,2004-02-27,2004-02-27,2.915,16.5,0.0103213201515059,0.4920612478818023,0.11854051979577802,0,395.9,0
1043,2004-03-01,2004-03-01,2.8905,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,400.0,0
1044,2004-03-02,2004-03-02,2.907,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,395.8,0
1045,2004-03-03,2004-03-03,2.8819999999999997,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,390.5,0
1046,2004-03-04,2004-03-04,2.8925,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,392.0,0
1047,2004-03-05,2004-03-05,2.877,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,399.3,0
1048,2004-03-08,2004-03-08,2.8825,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,399.9,0
1049,2004-03-09,2004-03-09,2.8680000000000003,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,401.5,0
1050,2004-03-10,2004-03-10,2.89,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,400.3,0
1051,2004-03-11,2004-03-11,2.91,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,398.5,0
1052,2004-03-12,2004-03-12,2.906,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,398.0,0
1053,2004-03-15,2004-03-15,2.9075,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,398.1,0
1054,2004-03-16,2004-03-16,2.9019999999999997,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,402.5,0
1055,2004-03-17,2004-03-17,2.9130000000000003,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,402.8,0
1056,2004-03-18,2004-03-18,2.92,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,410.8,0
1057,2004-03-19,2004-03-19,2.9010000000000002,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,412.0,0
1058,2004-03-22,2004-03-22,2.912,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,417.7,0
1059,2004-03-23,2004-03-23,2.9210000000000003,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,416.3,0
1060,2004-03-24,2004-03-24,2.929,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,415.3,0
1061,2004-03-25,2004-03-25,2.94,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,416.1,0
1062,2004-03-26,2004-03-26,2.938,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,421.5,0
1063,2004-03-29,2004-03-29,2.9389999999999996,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,421.3,0
1064,2004-03-30,2004-03-30,2.9189999999999996,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,420.0,0
1065,2004-03-31,2004-03-31,2.907,16.25,0.0103213201515059,0.4817514834120056,0.12179976373002499,0,423.7,0
1066,2004-04-01,2004-04-01,2.8925,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,427.3,0
1067,2004-04-02,2004-04-02,2.8985,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,419.0,0
1068,2004-04-05,2004-04-05,2.8819999999999997,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,417.7,0
1069,2004-04-06,2004-04-06,2.8739999999999997,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,418.5,0
1070,2004-04-07,2004-04-07,2.8760000000000003,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,419.0,0
1071,2004-04-08,2004-04-08,2.877,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,419.5,0
1072,2004-04-09,2004-04-09,2.888,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,419.5,0
1073,2004-04-12,2004-04-12,2.888,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,419.5,0
1074,2004-04-13,2004-04-13,2.888,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,407.9,0
1075,2004-04-14,2004-04-14,2.8955,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,397.8,0
1076,2004-04-15,2004-04-15,2.9160000000000004,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,398.3,0
1077,2004-04-16,2004-04-16,2.915,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,400.9,0
1078,2004-04-19,2004-04-19,2.915,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,403.1,0
1079,2004-04-20,2004-04-20,2.9210000000000003,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,396.9,0
1080,2004-04-21,2004-04-21,2.9325,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,392.8,0
1081,2004-04-22,2004-04-22,2.927,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,392.3,0
1082,2004-04-23,2004-04-23,2.9135,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,394.5,0
1083,2004-04-26,2004-04-26,2.9130000000000003,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,397.0,0
1084,2004-04-27,2004-04-27,2.9185,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,396.3,0
1085,2004-04-28,2004-04-28,2.9395,16.0,0.013992174640088005,0.4644239938242535,0.124222691170983,0,392.3,0
